Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704192480,4,GET,/task/B,0.000000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89.22219999999825,89.22219999999825,89.22219999999825,89.22219999999825,240.0
1704192480,4,GET,/task/B/metrics,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,92.69019999999983,92.69019999999983,92.69019999999983,92.69019999999983,94.0
1704192480,4,,Aggregated,1.000000,0.000000,93,93,96,96,96,96,96,96,96,96,96,4,0,89,90.64732499999906,84.28509999999889,96.39179999999925,147.5
1704192481,5,POST,/prediction_category,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,92.53220000000084,92.53220000000084,92.53220000000084,92.53220000000084,115.0
1704192481,5,POST,/prediction_sexism,0.000000,0.000000,96,96,96,96,96,96,96,96,96,96,96,1,0,96.39179999999925,96.39179999999925,96.39179999999925,96.39179999999925,88.0
1704192481,5,GET,/task/A,0.500000,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84.28509999999889,84.28509999999889,84.28509999999889,84.28509999999889,168.0
1704192481,5,GET,/task/A/preprocessing,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,49.21629999999766,49.21629999999766,49.21629999999766,49.21629999999766,109.0
1704192481,5,GET,/task/B,0.500000,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89.22219999999825,89.22219999999825,89.22219999999825,89.22219999999825,240.0
1704192481,5,GET,/task/B/metrics,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,47,69.80224999999862,46.91429999999741,92.69019999999983,94.0
1704192481,5,,Aggregated,1.000000,0.000000,93,93,93,93,96,96,96,96,96,96,96,7,0,89,78.75029999999889,46.91429999999741,96.39179999999925,129.71428571428572
1704192482,6,POST,/prediction_category,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,92.53220000000084,92.53220000000084,92.53220000000084,92.53220000000084,115.0
1704192482,6,POST,/prediction_sexism,0.333333,0.000000,120,120,120,120,120,120,120,120,120,120,120,2,0,96.39179999999925,108.09410000000064,96.39179999999925,119.79640000000202,88.0
1704192482,6,GET,/task/A,0.333333,0.000000,84,84,84,84,84,84,84,84,84,84,84,1,0,84.28509999999889,84.28509999999889,84.28509999999889,84.28509999999889,168.0
1704192482,6,GET,/task/A/metrics,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,48.623600000002654,48.623600000002654,48.623600000002654,48.623600000002654,94.0
1704192482,6,GET,/task/A/preprocessing,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,49.21629999999766,49.21629999999766,49.21629999999766,49.21629999999766,109.0
1704192482,6,GET,/task/B,0.333333,0.000000,89,89,89,89,89,89,89,89,89,89,89,1,0,89.22219999999825,89.22219999999825,89.22219999999825,89.22219999999825,240.0
